test_acc,epoch,step,train_loss,val_loss,val_acc
0.6465526223182678,0,0,,,
,0,49,46.875,,
,0,99,45.3125,,
,0,149,42.1875,,
,0,199,35.9375,,
,0,249,37.5,,
,0,299,44.53125,,
,0,349,35.9375,,
,0,399,39.0625,,
,0,449,38.28125,,
,0,499,46.09375,,
,0,549,35.9375,,
,0,599,37.5,,
,0,649,38.28125,,
,0,699,39.0625,,
,0,749,39.0625,,
,0,799,42.1875,,
,0,849,35.9375,,
,0,899,36.71875,,
,0,949,36.71875,,
,0,999,37.5,,
,0,1049,45.3125,,
,0,1099,39.84375,,
,0,1149,39.84375,,
,0,1183,,38.748680114746094,0.6125131845474243
,1,1199,40.625,,
,1,1249,42.96875,,
,1,1299,46.09375,,
,1,1349,45.3125,,
,1,1399,46.09375,,
,1,1449,39.0625,,
,1,1499,41.40625,,
,1,1549,42.96875,,
,1,1599,38.28125,,
,1,1649,42.96875,,
,1,1699,42.96875,,
,1,1749,36.71875,,
,1,1799,33.59375,,
,1,1849,38.28125,,
,1,1899,35.15625,,
,1,1949,38.28125,,
,1,1999,38.28125,,
,1,2049,44.53125,,
,1,2099,40.625,,
,1,2149,42.1875,,
,1,2199,39.0625,,
,1,2249,36.71875,,
,1,2299,43.75,,
,1,2349,36.71875,,
,1,2367,,38.748680114746094,0.6125131845474243
,2,2399,39.0625,,
,2,2449,36.71875,,
,2,2499,42.96875,,
,2,2549,36.71875,,
,2,2599,33.59375,,
,2,2649,45.3125,,
,2,2699,38.28125,,
,2,2749,39.84375,,
,2,2799,40.625,,
,2,2849,34.375,,
,2,2899,38.28125,,
,2,2949,34.375,,
,2,2999,38.28125,,
,2,3049,41.40625,,
,2,3099,37.5,,
,2,3149,42.1875,,
,2,3199,42.96875,,
,2,3249,43.75,,
,2,3299,38.28125,,
,2,3349,39.0625,,
,2,3399,37.5,,
,2,3449,41.40625,,
,2,3499,42.96875,,
,2,3549,35.9375,,
,2,3551,,38.748680114746094,0.6125131845474243
,3,3599,33.59375,,
,3,3649,44.53125,,
,3,3699,30.46875,,
,3,3749,40.625,,
,3,3799,38.28125,,
,3,3849,35.9375,,
,3,3899,36.71875,,
,3,3949,40.625,,
,3,3999,39.84375,,
,3,4049,36.71875,,
,3,4099,37.5,,
,3,4149,35.15625,,
,3,4199,35.15625,,
,3,4249,38.28125,,
,3,4299,42.1875,,
,3,4349,31.25,,
,3,4399,42.96875,,
,3,4449,45.3125,,
,3,4499,42.1875,,
,3,4549,39.84375,,
,3,4599,44.53125,,
,3,4649,34.375,,
,3,4699,43.75,,
,3,4735,,38.748680114746094,0.6125131845474243
,4,4749,36.71875,,
,4,4799,44.53125,,
,4,4849,38.28125,,
,4,4899,50.0,,
,4,4949,38.28125,,
,4,4999,38.28125,,
,4,5049,49.21875,,
,4,5099,38.28125,,
,4,5149,45.3125,,
,4,5199,35.9375,,
,4,5249,31.25,,
,4,5299,35.15625,,
,4,5349,35.15625,,
,4,5399,34.375,,
,4,5449,38.28125,,
,4,5499,37.5,,
,4,5549,35.9375,,
,4,5599,37.5,,
,4,5649,38.28125,,
,4,5699,39.84375,,
,4,5749,44.53125,,
,4,5799,35.9375,,
,4,5849,38.28125,,
,4,5899,36.71875,,
,4,5919,,38.748680114746094,0.6125131845474243
,5,5949,42.1875,,
,5,5999,37.5,,
,5,6049,39.0625,,
,5,6099,40.625,,
,5,6149,41.40625,,
,5,6199,46.09375,,
,5,6249,39.0625,,
,5,6299,37.5,,
,5,6349,44.53125,,
,5,6399,25.78125,,
,5,6449,43.75,,
,5,6499,37.5,,
,5,6549,30.46875,,
,5,6599,32.8125,,
,5,6649,35.15625,,
,5,6699,40.625,,
,5,6749,33.59375,,
,5,6799,45.3125,,
,5,6849,35.9375,,
,5,6899,28.125,,
,5,6949,38.28125,,
,5,6999,42.96875,,
,5,7049,34.375,,
,5,7099,36.71875,,
,5,7103,,38.748680114746094,0.6125131845474243
,6,7149,35.15625,,
,6,7199,39.0625,,
,6,7249,42.1875,,
,6,7299,39.0625,,
,6,7349,42.1875,,
,6,7399,39.0625,,
,6,7449,36.71875,,
,6,7499,45.3125,,
,6,7549,49.21875,,
,6,7599,41.40625,,
,6,7649,39.0625,,
,6,7699,41.40625,,
,6,7749,39.84375,,
